player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Sammy Watkins,WR,BAL,NA,1.3,1.3,17.9,NA,NA,0.1,0,0,NA,0,0,2.44,NA,10256,FleaFlicker,11670,PITSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.1,18,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Bell,WR,CLE,NA,1.6,1.6,18.1,NA,NA,0.1,0,0.5,NA,0,0,2.38,NA,16863,FleaFlicker,15758,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,WR100,0.1,18.6,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byron Pringle,WR,CHI,NA,1.2,1.2,16.5,NA,NA,0.1,0,0,NA,0,0,2.35,NA,14328,FleaFlicker,13863,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,WR90,0.1,16.5,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shi Smith,WR,CAR,NA,1.4,1.4,17.2,NA,NA,0.1,0,0.1,NA,0,0,2.25,NA,16488,FleaFlicker,15298,@TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0.1,17.3,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laquon Treadwell,WR,SEA,NA,1.3,1.3,16.4,NA,NA,0.1,0,0,NA,0,0,2.23,NA,12017,FleaFlicker,12645,NYJSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1,16.4,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre'Quan Smith,WR,NO,NA,1.3,1.3,14.6,NA,NA,0.1,0,0,NA,0,0,2.16,NA,13819,FleaFlicker,13645,@PHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,WR99,0.1,14.6,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,NA,1,1,13.6,NA,NA,0.1,0,0.5,NA,0,0,2.05,NA,16830,FleaFlicker,15756,CHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,WR61,0.1,14,51%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velus Jones,WR,CHI,NA,0.7,0.7,9.3,NA,NA,0.1,0.9,5.5,NA,0,0,2.04,NA,16898,FleaFlicker,15767,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,WR102,0.1,14.8,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amari Rodgers,WR,HOU,NA,1.2,1.2,15.3,NA,NA,0.1,0,0.3,NA,0,0,2.02,NA,16329,FleaFlicker,15297,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0.1,15.5,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.Y. Hilton,WR,DAL,NA,0.8,0.8,13.7,NA,NA,0.1,0,0.2,NA,0,0,1.93,NA,8493,FleaFlicker,10729,@TENThu 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.1,13.9,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTAshton Dulin,WR,IND,NA,1.1,1.1,13.1,NA,NA,0.1,0.3,1,NA,0,0,1.93,NA,15035,FleaFlicker,14315,@NYGSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0.1,14.1,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Braxton Berrios,WR,NYJ,NA,1,1,11.2,NA,NA,0.1,0.5,3.2,NA,0,0,1.9,NA,13909,FleaFlicker,13638,@SEASun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,WR96,0.1,14.3,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skyy Moore,WR,KC,NA,0.9,0.9,12.7,NA,NA,0.1,0,1.5,NA,0,0,1.9,NA,16854,FleaFlicker,15766,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,WR77,0.1,14.2,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Watson,WR,KC,NA,0.9,0.9,12.8,NA,NA,0.1,0,0.1,NA,0,0,1.87,NA,13851,FleaFlicker,13776,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,WR98,0.1,12.9,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trenton Irwin,WR,CIN,NA,1,1,12.8,NA,NA,0.1,0,0.2,NA,0,0,1.82,NA,14930,FleaFlicker,14551,BUFMon 8:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.1,13,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTDenzel Mims,WR,NYJ,NA,0.9,0.9,13.9,NA,NA,0.1,0,0,NA,0,0,1.73,NA,15613,FleaFlicker,14846,@SEASun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.1,13.9,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nelson Agholor,WR,NE,NA,1,1,13.1,NA,NA,0.1,0,0,NA,0,0,1.71,NA,11178,FleaFlicker,12181,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,WR86,0.1,13.1,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray-Ray McCloud,WR,SF,NA,0.9,0.9,11.2,NA,NA,0,0,1.4,NA,0,0,1.56,NA,13934,FleaFlicker,13641,@LVSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.1,12.6,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Green,WR,ARI,NA,0.9,0.9,10.9,NA,NA,0.1,0,0,NA,0,0,1.55,NA,7369,FleaFlicker,10261,@ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0.1,11,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,NA,NA,7.13,88.58,NA,NA,0.65,0.51,2.95,NA,0.03,NA,13.3,NA,amon-ra-st-brown,NumberFire,15287,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51,21.09,#29,32,1,16.8,20.37,7800,2.61,16.8,25,0.67,NA,NA,NA,NA,NA,NA
Tyreek Hill,WR,MIA,NA,NA,6.53,89.37,NA,NA,0.53,0.53,3.31,NA,0.03,NA,12.58,NA,tyreek-hill,NumberFire,12801,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04,20.12,#1,38,2,15.83,19.14,8900,2.15,15.83,34,0.47,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,NA,6.75,85.5,NA,NA,0.62,0,0,NA,0,NA,12.13,NA,ja-marr-chase,NumberFire,15281,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,19.51,#6,40,3,15.51,18.96,8400,2.26,15.51,30,0.52,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,NA,6.57,89.65,NA,NA,0.46,0.25,1.36,NA,0.01,NA,11.93,NA,justin-jefferson,NumberFire,14836,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,19.24,#19,43,4,15.21,18.5,9500,1.95,15.21,36,0.42,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LV,NA,NA,5.87,81.07,NA,NA,0.49,0.26,1.55,NA,0.01,NA,11.28,NA,davante-adams,NumberFire,11675,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,18.36,#2,54,5,14.18,17.13,8500,2.02,14.18,30,0.47,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,NA,6.12,79.86,NA,NA,0.5,0.31,1.72,NA,0.01,NA,11.28,NA,ceedee-lamb,NumberFire,14832,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,18.36,#16,54,5,14.3,17.36,8000,2.17,14.3,30,0.48,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,BUF,NA,NA,5.74,77.08,NA,NA,0.54,0,0,NA,0,NA,10.93,NA,stefon-diggs,NumberFire,12186,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97,17.89,#10,56,7,13.78,16.68,8100,2.06,13.78,32,0.43,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,NA,NA,5.27,72.34,NA,NA,0.49,0,0,NA,0,NA,10.12,NA,a-j-brown,NumberFire,14104,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,16.79,#15,61,8,12.73,15.41,7900,1.95,12.73,33,0.39,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,ARI,NA,NA,6.77,78.89,NA,NA,0.32,0,0,NA,0,NA,9.65,NA,deandre-hopkins-1,NumberFire,11232,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14,16.16,#30,63,9,13.03,16.51,7700,2.14,13.03,23,0.57,NA,NA,NA,NA,NA,NA
D.K. Metcalf,WR,SEA,NA,NA,6.25,69.63,NA,NA,0.42,0,0,NA,0,NA,9.39,NA,dk-metcalf,NumberFire,14102,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,15.81,#3,66,10,12.53,15.7,6900,2.28,12.53,21,0.6,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,JAC,NA,NA,5.33,67.41,NA,NA,0.35,0,0,NA,0,NA,8.82,NA,christian-kirk,NumberFire,13633,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,15.03,#26,72,11,11.47,14.16,6000,2.36,11.47,17,0.67,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,NA,NA,4.84,64.13,NA,NA,0.39,0,0,NA,0,NA,8.74,NA,tee-higgins,NumberFire,14835,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,14.93,#6,73,12,11.13,13.58,7300,1.86,11.13,23,0.48,NA,NA,NA,NA,NA,NA
Brandon Aiyuk,WR,SF,NA,NA,4.64,64.01,NA,NA,0.4,0,0,NA,0,NA,8.73,NA,brandon-aiyuk,NumberFire,14840,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,14.91,#31,74,13,11.06,13.42,6300,2.13,11.06,18,0.61,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,NA,NA,4.53,67.59,NA,NA,0.29,0.26,1.6,NA,0.02,NA,8.69,NA,jaylen-waddle,NumberFire,15284,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,14.86,#1,76,14,10.98,13.29,7500,1.77,10.98,25,0.44,NA,NA,NA,NA,NA,NA
Amari Cooper,WR,CLE,NA,NA,5.04,66.64,NA,NA,0.33,0,0,NA,0,NA,8.61,NA,amari-cooper,NumberFire,12175,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47,14.75,#7,78,15,11.14,13.68,5800,2.36,11.14,19,0.59,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,NA,NA,4.83,62.37,NA,NA,0.35,0.29,1.72,NA,0.02,NA,8.52,NA,garrett-wilson,NumberFire,15753,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,14.63,#28,79,16,10.96,13.43,5500,2.44,10.96,16,0.69,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WSH,NA,NA,4.53,63.7,NA,NA,0.32,0.3,1.73,NA,0.01,NA,8.48,NA,terry-mclaurin,NumberFire,14109,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,14.57,#22,81,17,10.75,13.04,6100,2.14,10.75,21,0.51,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,GB,NA,NA,4.51,58.29,NA,NA,0.43,0,0,NA,0,NA,8.43,NA,allen-lazard,NumberFire,13632,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,14.51,#20,82,18,10.66,12.93,5400,2.39,10.66,15,0.71,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,HOU,NA,NA,4.41,52.71,NA,NA,0.3,1.07,6.07,NA,0.05,NA,7.97,NA,brandin-cooks,NumberFire,11674,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,13.89,#25,88,19,10.18,12.4,4800,2.58,10.18,17,0.6,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,NA,NA,5.28,58.88,NA,NA,0.32,0,0,NA,0,NA,7.75,NA,keenan-allen-1,NumberFire,11222,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,13.59,#13,92,20,10.39,13.07,7000,1.87,10.39,21,0.49,NA,NA,NA,NA,NA,NA
Michael Pittman Jr.,WR,IND,NA,NA,5.83,58.97,NA,NA,0.32,0,0,NA,0,NA,7.72,NA,michael-pittman-jr,NumberFire,14842,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,13.55,#27,93,21,10.65,13.62,6200,2.2,10.65,17,0.63,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,NA,NA,4.81,62.24,NA,NA,0.26,0,0,NA,0,NA,7.71,NA,chris-olave,NumberFire,15754,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,13.53,#9,94,22,10.13,12.57,6100,2.06,10.13,16,0.63,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,NA,NA,4.66,55.09,NA,NA,0.35,0,0,NA,0,NA,7.57,NA,devonta-smith,NumberFire,15282,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,13.34,#15,98,23,9.9,12.26,7100,1.73,9.9,23,0.43,NA,NA,NA,NA,NA,NA
D.J. Moore,WR,CAR,NA,NA,4.5,56.15,NA,NA,0.27,0.3,1.71,NA,0.02,NA,7.54,NA,d-j-moore-1,NumberFire,13635,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,13.3,#5,99,24,9.78,12.04,5700,2.11,9.78,16,0.61,NA,NA,NA,NA,NA,NA
Diontae Johnson,WR,PIT,NA,NA,5.41,55,NA,NA,0.25,0.57,3.15,NA,0.02,NA,7.37,NA,diontae-johnson,NumberFire,14208,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,13.07,#11,101,25,10.08,12.83,5200,2.47,10.08,16,0.63,NA,NA,NA,NA,NA,NA
Gabriel Davis,WR,BUF,NA,NA,3.26,52.38,NA,NA,0.34,0,0,NA,0,NA,7.24,NA,gabriel-davis,NumberFire,14845,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,12.9,#10,103,26,8.87,10.53,5100,2.06,8.87,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin,WR,TB,NA,NA,5.34,50.71,NA,NA,0.33,0.26,1.47,NA,0.01,NA,7.21,NA,chris-godwin,NumberFire,13163,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,12.86,#18,104,27,9.89,12.59,6800,1.85,9.89,21,0.47,NA,NA,NA,NA,NA,NA
JuJu Smith-Schuster,WR,KC,NA,NA,4.37,48.37,NA,NA,0.39,0,0,NA,0,NA,7.09,NA,juju-smith-schuster,NumberFire,13156,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,12.7,#8,106,28,9.24,11.5,5600,2.05,9.24,17,0.54,NA,NA,NA,NA,NA,NA
Zay Jones,WR,JAC,NA,NA,4.75,51.97,NA,NA,0.3,0,0,NA,0,NA,6.96,NA,zay-jones,NumberFire,13176,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,12.52,#26,108,29,9.33,11.74,5000,2.35,9.33,14,0.67,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,NA,NA,4.06,53.98,NA,NA,0.24,0,0,NA,0,NA,6.84,NA,courtland-sutton,NumberFire,13630,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,12.36,#24,111,30,8.85,10.9,5100,2.14,8.85,16,0.55,NA,NA,NA,NA,NA,NA
Mike Williams,WR,LAC,NA,NA,3.64,49.72,NA,NA,0.3,0,0,NA,0,NA,6.76,NA,mike-williams,NumberFire,13154,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,12.25,#13,112,31,8.61,10.43,6700,1.56,8.61,23,0.37,NA,NA,NA,NA,NA,NA
Mike Evans,WR,TB,NA,NA,3.79,47.61,NA,NA,0.32,0,0,NA,0,NA,6.72,NA,mike-evans,NumberFire,11671,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,12.2,#18,113,32,8.6,10.49,6500,1.61,8.6,17,0.51,NA,NA,NA,NA,NA,NA
Josh Reynolds,WR,DET,NA,NA,3.42,45.61,NA,NA,0.36,0,0,NA,0,NA,6.67,NA,josh-reynolds,NumberFire,13168,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,12.13,#29,114,33,8.41,10.14,3700,2.74,8.41,10,0.84,NA,NA,NA,NA,NA,NA
Corey Davis,WR,NYJ,NA,NA,3.54,52.16,NA,NA,0.25,0,0,NA,0,NA,6.65,NA,corey-davis,NumberFire,13153,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,12.1,#28,115,34,8.43,10.24,3700,2.77,8.43,12,0.7,NA,NA,NA,NA,NA,NA
Curtis Samuel,WR,WSH,NA,NA,2.94,33.24,NA,NA,0.2,2.44,13.92,NA,0.11,NA,6.54,NA,curtis-samuel,NumberFire,13157,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,11.95,#22,117,35,7.99,9.5,4400,2.16,7.99,13,0.61,NA,NA,NA,NA,NA,NA
Donovan Peoples-Jones,WR,CLE,NA,NA,3.67,53.6,NA,NA,0.2,0,0,NA,0,NA,6.51,NA,donovan-peoples-jones,NumberFire,14857,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,11.91,#7,118,36,8.34,10.21,4700,2.17,8.34,15,0.56,NA,NA,NA,NA,NA,NA
D.J. Chark,WR,DET,NA,NA,2.89,44.5,NA,NA,0.34,0,0,NA,0,NA,6.5,NA,d-j-chark,NumberFire,13668,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,11.9,#29,119,37,7.94,9.39,4300,2.18,7.94,15,0.53,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,NE,NA,NA,4.33,49.45,NA,NA,0.24,0,0,NA,0,NA,6.32,NA,jakobi-meyers,NumberFire,14127,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,11.65,#21,122,38,8.47,10.69,5000,2.14,8.47,15,0.56,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,DEN,NA,NA,3.55,49.01,NA,NA,0.22,0,0,NA,0,NA,6.19,NA,jerry-jeudy,NumberFire,14833,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,11.48,#24,126,39,7.96,9.76,6400,1.53,7.96,20,0.4,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,NA,NA,3.89,43.98,NA,NA,0.3,0,0,NA,0,NA,6.15,NA,drake-london,NumberFire,15751,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,11.42,#23,127,40,8.06,10.06,4900,2.05,8.06,16,0.5,NA,NA,NA,NA,NA,NA
Adam Thielen,WR,MIN,NA,NA,3.81,41.35,NA,NA,0.32,0,0,NA,0,NA,6.06,NA,adam-thielen,NumberFire,11938,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,11.3,#19,128,41,7.96,9.88,5200,1.9,7.96,13,0.61,NA,NA,NA,NA,NA,NA
Jahan Dotson,WR,WSH,NA,NA,3.37,42.74,NA,NA,0.26,0.3,1.72,NA,0.01,NA,6.04,NA,jahan-dotson,NumberFire,15755,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,11.28,#22,129,42,7.71,9.43,4600,2.05,7.71,17,0.45,NA,NA,NA,NA,NA,NA
Michael Gallup,WR,DAL,NA,NA,3.37,41.39,NA,NA,0.31,0,0,NA,0,NA,6.01,NA,michael-gallup,NumberFire,13646,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,11.24,#16,130,43,7.7,9.39,4300,2.18,7.7,15,0.51,NA,NA,NA,NA,NA,NA
George Pickens,WR,PIT,NA,NA,3.62,49.06,NA,NA,0.18,0,0,NA,0,NA,5.94,NA,george-pickens,NumberFire,15762,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,11.14,#11,131,44,7.78,9.61,5100,1.88,7.78,16,0.49,NA,NA,NA,NA,NA,NA
Marquez Valdes-Scantling,WR,KC,NA,NA,2.54,40.9,NA,NA,0.29,0,0,NA,0,NA,5.82,NA,marquez-valdes-scantling,NumberFire,13793,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,10.98,#8,133,45,7.1,8.38,4100,2.04,7.1,11,0.65,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,NA,NA,3.35,43.55,NA,NA,0.25,0,0,NA,0,NA,5.8,NA,darius-slayton,NumberFire,14122,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,10.95,#14,135,46,7.49,9.2,4900,1.88,7.49,14,0.54,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,NA,NA,3.45,40.47,NA,NA,0.3,0,0,NA,0,NA,5.78,NA,romeo-doubs,NumberFire,15779,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,10.92,#20,136,47,7.51,9.28,4700,1.97,7.51,14,0.54,NA,NA,NA,NA,NA,NA
Richie James,WR,NYG,NA,NA,3.75,45.29,NA,NA,0.23,0,0,NA,0,NA,5.76,NA,richie-james,NumberFire,13724,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,10.9,#14,137,48,7.62,9.59,4300,2.23,7.62,13,0.59,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LA,NA,NA,3.06,38.87,NA,NA,0.17,0.8,4.17,NA,0.03,NA,5.36,NA,tutu-atwell,NumberFire,15301,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,10.36,#17,146,49,6.91,8.51,3600,2.36,6.91,10,0.69,NA,NA,NA,NA,NA,NA
Chris Moore,WR,HOU,NA,NA,3.47,40.23,NA,NA,0.23,0,0,NA,0,NA,5.34,NA,chris-moore,NumberFire,12773,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,10.33,#25,147,50,7.1,8.86,4200,2.11,7.1,14,0.51,NA,NA,NA,NA,NA,NA
Marquise Brown,WR,ARI,NA,NA,4.24,42,NA,NA,0.2,0,0,NA,0,NA,5.33,NA,marquise-brown,NumberFire,14105,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,10.32,#30,148,51,7.44,9.61,5500,1.75,7.44,16,0.47,NA,NA,NA,NA,NA,NA
Van Jefferson,WR,LA,NA,NA,3.13,41.97,NA,NA,0.19,0,0,NA,0,NA,5.32,NA,van-jefferson,NumberFire,14858,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,10.3,#17,149,52,6.86,8.46,4000,2.12,6.86,13,0.53,NA,NA,NA,NA,NA,NA
Randall Cobb,WR,GB,NA,NA,2.96,36.81,NA,NA,0.28,0,0,NA,0,NA,5.29,NA,randall-cobb,NumberFire,10308,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,10.26,#20,150,53,6.76,8.29,3800,2.18,6.76,12,0.56,NA,NA,NA,NA,NA,NA
Tyler Boyd,WR,CIN,NA,NA,3.01,38.05,NA,NA,0.22,0,0,NA,0,NA,5.08,NA,tyler-boyd,NumberFire,12650,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,9.98,#6,152,54,6.61,8.14,4700,1.73,6.61,14,0.47,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,ATL,NA,NA,2.9,37.87,NA,NA,0.22,0,0,NA,0,NA,5.06,NA,olamide-zaccheaus,NumberFire,14592,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,9.95,#23,153,55,6.54,8.01,3400,2.36,6.54,10,0.65,NA,NA,NA,NA,NA,NA
Parris Campbell,WR,IND,NA,NA,3.55,37.63,NA,NA,0.21,0,0,NA,0,NA,4.95,NA,parris-campbell,NumberFire,14112,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,9.8,#27,154,56,6.74,8.55,4600,1.86,6.74,14,0.48,NA,NA,NA,NA,NA,NA
